waca,1,0,750,10,10,Маг,,,,04:00:00,,
Баклажан,1,73,500,10,9,Охотник,Заброшенная Шахта,,2024-03-24 22:39:28.741348+00:00,04:00:00,,
Ильяз,6,2280,3795,25,24,Маг,Эльфийский лес,2024-03-25 10:45:00.593550+00:00,2024-03-25 15:09:00.608549+00:00,04:00:00,d5538aceef2846caa248db5454b36a88,
Чак,5,37,2530,22,21,Маг,Эльфийский лес,2024-03-25 07:36:19.021960+00:00,2024-03-25 12:00:19.034960+00:00,04:00:00,93cb3669ace44de8a8fbbd34880954ab,
Erlon,5,1684,2530,22,21,Охотник,Эльфийский лес,2024-03-25 10:11:59.564508+00:00,2024-03-25 14:11:59.573508+00:00,04:00:00,52bb3ab38e9843beb24320f52444a165,
Орех,5,1667,3795,21,22,Мастер,Лагерь Орков,2024-03-25 09:39:10.499092+00:00,2024-03-25 12:11:10.512091+00:00,04:00:00,,Барбарики
